epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4008.99,0.5714,0.63403,1.13545,0.85137,0.83598,0.87069,0.69999,0.75519,0.7789,1.27423,5.0752e-05,5.0752e-05,5.0752e-05
42,4099.04,0.55426,0.58407,1.11712,0.85547,0.83813,0.87412,0.70677,0.75486,0.7577,1.278,4.59208e-05,4.59208e-05,4.59208e-05
43,4185.69,0.54219,0.56334,1.1137,0.84993,0.852,0.88209,0.71356,0.74559,0.74547,1.26142,4.10896e-05,4.10896e-05,4.10896e-05
44,4274.21,0.53724,0.55252,1.10684,0.86726,0.82584,0.87868,0.71009,0.74695,0.7533,1.2626,3.62584e-05,3.62584e-05,3.62584e-05
45,4364.64,0.52847,0.52862,1.10161,0.86148,0.83835,0.8795,0.70946,0.74671,0.74477,1.26674,3.14272e-05,3.14272e-05,3.14272e-05
46,4452.07,0.51847,0.52319,1.08702,0.86916,0.83805,0.88385,0.712,0.74322,0.73573,1.25824,2.6596e-05,2.6596e-05,2.6596e-05
47,4541.36,0.5126,0.51173,1.08537,0.87343,0.83288,0.88222,0.71064,0.74049,0.7256,1.26056,2.17648e-05,2.17648e-05,2.17648e-05
48,4638.72,0.50464,0.49777,1.07976,0.86454,0.83695,0.88378,0.71203,0.73823,0.72827,1.25481,1.69336e-05,1.69336e-05,1.69336e-05
49,4721.91,0.50609,0.4914,1.0765,0.86811,0.84222,0.88573,0.71475,0.73839,0.72346,1.25733,1.21024e-05,1.21024e-05,1.21024e-05
50,4804.36,0.49144,0.48704,1.06576,0.87722,0.83527,0.88603,0.71548,0.73738,0.72337,1.25717,7.2712e-06,7.2712e-06,7.2712e-06
